order,wavmin,wavmax
0,1420.73912243166,1439.46452281578
1,1434.67528967391,1453.58045958398
2,1448.8879809534,1467.9751384536
3,1463.38560030523,1482.65698030386
4,1478.17687813482,1497.63473303839
5,1493.27088721639,1512.91748761589
6,1508.67705964195,1528.51469503297
7,1524.40520478724,1544.43618432617
8,1540.46552836636,1560.69218166478
9,1556.86865265318,1577.29333061276
10,1573.62563795352,1594.25071364394
11,1590.74800541922,1611.57587500189
12,1608.2477613033,1629.28084500357
13,1626.13742276313,1647.37816589435
14,1644.43004532844,1665.880919371
15,1663.13925216073,1684.80275589973
16,1682.27926524173,1704.1579259672
17,1701.86493864128,1723.96131341508
18,1721.91179402785,1744.22847102173
19,1742.43605860032,1764.97565850996
20,1763.45470563563,1786.21988317608
